sample	R1_filenames	R2_filenames
SRR9276169	SRR9276169_pass_1.fastq.gz	SRR9276169_pass_2.fastq.gz
SRR9276170	SRR9276170_pass_1.fastq.gz	SRR9276170_pass_2.fastq.gz
SRR9276171	SRR9276171_pass_1.fastq.gz	SRR9276171_pass_2.fastq.gz
SRR9276174	SRR9276174_pass_1.fastq.gz	SRR9276174_pass_2.fastq.gz
SRR9276175	SRR9276175_pass_1.fastq.gz	SRR9276175_pass_2.fastq.gz
SRR9276176	SRR9276176_pass_1.fastq.gz	SRR9276176_pass_2.fastq.gz
SRR9276177	SRR9276177_pass_1.fastq.gz	SRR9276177_pass_2.fastq.gz
SRR9276178	SRR9276178_pass_1.fastq.gz	SRR9276178_pass_2.fastq.gz
SRR9276179	SRR9276179_pass_1.fastq.gz	SRR9276179_pass_2.fastq.gz
SRR9276180	SRR9276180_pass_1.fastq.gz	SRR9276180_pass_2.fastq.gz
SRR9276181	SRR9276181_pass_1.fastq.gz	SRR9276181_pass_2.fastq.gz
SRR9276182	SRR9276182_pass_1.fastq.gz	SRR9276182_pass_2.fastq.gz
SRR9276183	SRR9276183_pass_1.fastq.gz	SRR9276183_pass_2.fastq.gz
SRR9276184	SRR9276184_pass_1.fastq.gz	SRR9276184_pass_2.fastq.gz
SRR9276185	SRR9276185_pass_1.fastq.gz	SRR9276185_pass_2.fastq.gz
SRR9276186	SRR9276186_pass_1.fastq.gz	SRR9276186_pass_2.fastq.gz
SRR9276188	SRR9276188_pass_1.fastq.gz	SRR9276188_pass_2.fastq.gz
SRR9276189	SRR9276189_pass_1.fastq.gz	SRR9276189_pass_2.fastq.gz
SRR9276190	SRR9276190_pass_1.fastq.gz	SRR9276190_pass_2.fastq.gz
SRR9276191	SRR9276191_pass_1.fastq.gz	SRR9276191_pass_2.fastq.gz
SRR9276192	SRR9276192_pass_1.fastq.gz	SRR9276192_pass_2.fastq.gz
SRR9276193	SRR9276193_pass_1.fastq.gz	SRR9276193_pass_2.fastq.gz
SRR9276196	SRR9276196_pass_1.fastq.gz	SRR9276196_pass_2.fastq.gz
SRR9276197	SRR9276197_pass_1.fastq.gz	SRR9276197_pass_2.fastq.gz
SRR9276224	SRR9276224_pass_1.fastq.gz	SRR9276224_pass_2.fastq.gz
SRR9276225	SRR9276225_pass_1.fastq.gz	SRR9276225_pass_2.fastq.gz
SRR9276226	SRR9276226_pass_1.fastq.gz	SRR9276226_pass_2.fastq.gz
SRR9276227	SRR9276227_pass_1.fastq.gz	SRR9276227_pass_2.fastq.gz
SRR9276228	SRR9276228_pass_1.fastq.gz	SRR9276228_pass_2.fastq.gz
SRR9276229	SRR9276229_pass_1.fastq.gz	SRR9276229_pass_2.fastq.gz
SRR9276230	SRR9276230_pass_1.fastq.gz	SRR9276230_pass_2.fastq.gz
SRR9276231	SRR9276231_pass_1.fastq.gz	SRR9276231_pass_2.fastq.gz
SRR9276232	SRR9276232_pass_1.fastq.gz	SRR9276232_pass_2.fastq.gz
SRR9276233	SRR9276233_pass_1.fastq.gz	SRR9276233_pass_2.fastq.gz
SRR9276243	SRR9276243_pass_1.fastq.gz	SRR9276243_pass_2.fastq.gz
SRR9276244	SRR9276244_pass_1.fastq.gz	SRR9276244_pass_2.fastq.gz
SRR9276245	SRR9276245_pass_1.fastq.gz	SRR9276245_pass_2.fastq.gz
SRR9276246	SRR9276246_pass_1.fastq.gz	SRR9276246_pass_2.fastq.gz
SRR9276247	SRR9276247_pass_1.fastq.gz	SRR9276247_pass_2.fastq.gz
SRR9276248	SRR9276248_pass_1.fastq.gz	SRR9276248_pass_2.fastq.gz
SRR9276249	SRR9276249_pass_1.fastq.gz	SRR9276249_pass_2.fastq.gz
SRR9276251	SRR9276251_pass_1.fastq.gz	SRR9276251_pass_2.fastq.gz
SRR9276252	SRR9276252_pass_1.fastq.gz	SRR9276252_pass_2.fastq.gz
SRR9276253	SRR9276253_pass_1.fastq.gz	SRR9276253_pass_2.fastq.gz
SRR9276254	SRR9276254_pass_1.fastq.gz	SRR9276254_pass_2.fastq.gz
SRR9276255	SRR9276255_pass_1.fastq.gz	SRR9276255_pass_2.fastq.gz
SRR9276256	SRR9276256_pass_1.fastq.gz	SRR9276256_pass_2.fastq.gz
SRR9276257	SRR9276257_pass_1.fastq.gz	SRR9276257_pass_2.fastq.gz
SRR9276258	SRR9276258_pass_1.fastq.gz	SRR9276258_pass_2.fastq.gz
SRR9276259	SRR9276259_pass_1.fastq.gz	SRR9276259_pass_2.fastq.gz
SRR9276260	SRR9276260_pass_1.fastq.gz	SRR9276260_pass_2.fastq.gz
SRR9276269	SRR9276269_pass_1.fastq.gz	SRR9276269_pass_2.fastq.gz
SRR9276270	SRR9276270_pass_1.fastq.gz	SRR9276270_pass_2.fastq.gz
SRR9276271	SRR9276271_pass_1.fastq.gz	SRR9276271_pass_2.fastq.gz
SRR9276272	SRR9276272_pass_1.fastq.gz	SRR9276272_pass_2.fastq.gz
SRR9276275	SRR9276275_pass_1.fastq.gz	SRR9276275_pass_2.fastq.gz
SRR9276277	SRR9276277_pass_1.fastq.gz	SRR9276277_pass_2.fastq.gz
SRR9276278	SRR9276278_pass_1.fastq.gz	SRR9276278_pass_2.fastq.gz
SRR9276279	SRR9276279_pass_1.fastq.gz	SRR9276279_pass_2.fastq.gz
SRR9276280	SRR9276280_pass_1.fastq.gz	SRR9276280_pass_2.fastq.gz
SRR9276281	SRR9276281_pass_1.fastq.gz	SRR9276281_pass_2.fastq.gz
SRR9276294	SRR9276294_pass_1.fastq.gz	SRR9276294_pass_2.fastq.gz
SRR9276303	SRR9276303_pass_1.fastq.gz	SRR9276303_pass_2.fastq.gz
SRR9276304	SRR9276304_pass_1.fastq.gz	SRR9276304_pass_2.fastq.gz
SRR9276305	SRR9276305_pass_1.fastq.gz	SRR9276305_pass_2.fastq.gz
SRR9276306	SRR9276306_pass_1.fastq.gz	SRR9276306_pass_2.fastq.gz
SRR9276317	SRR9276317_pass_1.fastq.gz	SRR9276317_pass_2.fastq.gz
SRR9276318	SRR9276318_pass_1.fastq.gz	SRR9276318_pass_2.fastq.gz
SRR9276319	SRR9276319_pass_1.fastq.gz	SRR9276319_pass_2.fastq.gz
SRR9276320	SRR9276320_pass_1.fastq.gz	SRR9276320_pass_2.fastq.gz
SRR9276321	SRR9276321_pass_1.fastq.gz	SRR9276321_pass_2.fastq.gz
SRR9276322	SRR9276322_pass_1.fastq.gz	SRR9276322_pass_2.fastq.gz
