sample	R1_filenames	R2_filenames
SRR341581	SRR341581_pass_1.fastq.gz	SRR341581_pass_2.fastq.gz
SRR341585	SRR341585_pass_1.fastq.gz	SRR341585_pass_2.fastq.gz
SRR341586	SRR341586_pass_1.fastq.gz	SRR341586_pass_2.fastq.gz
SRR341587	SRR341587_pass_1.fastq.gz	SRR341587_pass_2.fastq.gz
SRR341588	SRR341588_pass_1.fastq.gz	SRR341588_pass_2.fastq.gz
SRR341589	SRR341589_pass_1.fastq.gz	SRR341589_pass_2.fastq.gz
SRR341599	SRR341599_pass_1.fastq.gz	SRR341599_pass_2.fastq.gz
SRR341600	SRR341600_pass_1.fastq.gz	SRR341600_pass_2.fastq.gz
SRR341601	SRR341601_pass_1.fastq.gz	SRR341601_pass_2.fastq.gz
SRR341602	SRR341602_pass_1.fastq.gz	SRR341602_pass_2.fastq.gz
SRR341604	SRR341604_pass_1.fastq.gz	SRR341604_pass_2.fastq.gz
SRR341606	SRR341606_pass_1.fastq.gz	SRR341606_pass_2.fastq.gz
SRR341609	SRR341609_pass_1.fastq.gz	SRR341609_pass_2.fastq.gz
SRR341636	SRR341636_pass_1.fastq.gz	SRR341636_pass_2.fastq.gz
SRR341645	SRR341645_pass_1.fastq.gz	SRR341645_pass_2.fastq.gz
SRR341646	SRR341646_pass_1.fastq.gz	SRR341646_pass_2.fastq.gz
SRR341652	SRR341652_pass_1.fastq.gz	SRR341652_pass_2.fastq.gz
SRR341654	SRR341654_pass_1.fastq.gz	SRR341654_pass_2.fastq.gz
SRR341655	SRR341655_pass_1.fastq.gz	SRR341655_pass_2.fastq.gz
SRR341657	SRR341657_pass_1.fastq.gz	SRR341657_pass_2.fastq.gz
SRR341660	SRR341660_pass_1.fastq.gz	SRR341660_pass_2.fastq.gz
SRR341661	SRR341661_pass_1.fastq.gz	SRR341661_pass_2.fastq.gz
SRR341663	SRR341663_pass_1.fastq.gz	SRR341663_pass_2.fastq.gz
SRR341664	SRR341664_pass_1.fastq.gz	SRR341664_pass_2.fastq.gz
SRR341665	SRR341665_pass_1.fastq.gz	SRR341665_pass_2.fastq.gz
SRR341669	SRR341669_pass_1.fastq.gz	SRR341669_pass_2.fastq.gz
SRR341670	SRR341670_pass_1.fastq.gz	SRR341670_pass_2.fastq.gz
SRR341673	SRR341673_pass_1.fastq.gz	SRR341673_pass_2.fastq.gz
SRR341674	SRR341674_pass_1.fastq.gz	SRR341674_pass_2.fastq.gz
SRR341675	SRR341675_pass_1.fastq.gz	SRR341675_pass_2.fastq.gz
SRR341676	SRR341676_pass_1.fastq.gz	SRR341676_pass_2.fastq.gz
SRR341681	SRR341681_pass_1.fastq.gz	SRR341681_pass_2.fastq.gz
SRR341684	SRR341684_pass_1.fastq.gz	SRR341684_pass_2.fastq.gz
SRR341687	SRR341687_pass_1.fastq.gz	SRR341687_pass_2.fastq.gz
