sample	R1_filenames	R2_filenames
ERR260132	ERR260132_pass_1.fastq.gz	ERR260132_pass_2.fastq.gz
ERR260133	ERR260133_pass_1.fastq.gz	ERR260133_pass_2.fastq.gz
ERR260134	ERR260134_pass_1.fastq.gz	ERR260134_pass_2.fastq.gz
ERR260135	ERR260135_pass_1.fastq.gz	ERR260135_pass_2.fastq.gz
ERR260136	ERR260136_pass_1.fastq.gz	ERR260136_pass_2.fastq.gz
ERR260137	ERR260137_pass_1.fastq.gz	ERR260137_pass_2.fastq.gz
ERR260138	ERR260138_pass_1.fastq.gz	ERR260138_pass_2.fastq.gz
ERR260139	ERR260139_pass_1.fastq.gz	ERR260139_pass_2.fastq.gz
ERR260140	ERR260140_pass_1.fastq.gz	ERR260140_pass_2.fastq.gz
ERR260141	ERR260141_pass_1.fastq.gz	ERR260141_pass_2.fastq.gz
ERR260142	ERR260142_pass_1.fastq.gz	ERR260142_pass_2.fastq.gz
ERR260143	ERR260143_pass_1.fastq.gz	ERR260143_pass_2.fastq.gz
ERR260144	ERR260144_pass_1.fastq.gz	ERR260144_pass_2.fastq.gz
ERR260145	ERR260145_pass_1.fastq.gz	ERR260145_pass_2.fastq.gz
ERR260146	ERR260146_pass_1.fastq.gz	ERR260146_pass_2.fastq.gz
ERR260147	ERR260147_pass_1.fastq.gz	ERR260147_pass_2.fastq.gz
ERR260148	ERR260148_pass_1.fastq.gz	ERR260148_pass_2.fastq.gz
ERR260149	ERR260149_pass_1.fastq.gz	ERR260149_pass_2.fastq.gz
ERR260150	ERR260150_pass_1.fastq.gz	ERR260150_pass_2.fastq.gz
ERR260151	ERR260151_pass_1.fastq.gz	ERR260151_pass_2.fastq.gz
ERR260152	ERR260152_pass_1.fastq.gz	ERR260152_pass_2.fastq.gz
ERR260153	ERR260153_pass_1.fastq.gz	ERR260153_pass_2.fastq.gz
ERR260154	ERR260154_pass_1.fastq.gz	ERR260154_pass_2.fastq.gz
ERR260155	ERR260155_pass_1.fastq.gz	ERR260155_pass_2.fastq.gz
ERR260156	ERR260156_pass_1.fastq.gz	ERR260156_pass_2.fastq.gz
ERR260157	ERR260157_pass_1.fastq.gz	ERR260157_pass_2.fastq.gz
ERR260158	ERR260158_pass_1.fastq.gz	ERR260158_pass_2.fastq.gz
ERR260159	ERR260159_pass_1.fastq.gz	ERR260159_pass_2.fastq.gz
ERR260160	ERR260160_pass_1.fastq.gz	ERR260160_pass_2.fastq.gz
ERR260161	ERR260161_pass_1.fastq.gz	ERR260161_pass_2.fastq.gz
ERR260162	ERR260162_pass_1.fastq.gz	ERR260162_pass_2.fastq.gz
ERR260163	ERR260163_pass_1.fastq.gz	ERR260163_pass_2.fastq.gz
ERR260164	ERR260164_pass_1.fastq.gz	ERR260164_pass_2.fastq.gz
ERR260165	ERR260165_pass_1.fastq.gz	ERR260165_pass_2.fastq.gz
ERR260166	ERR260166_pass_1.fastq.gz	ERR260166_pass_2.fastq.gz
ERR260167	ERR260167_pass_1.fastq.gz	ERR260167_pass_2.fastq.gz
ERR260168	ERR260168_pass_1.fastq.gz	ERR260168_pass_2.fastq.gz
ERR260169	ERR260169_pass_1.fastq.gz	ERR260169_pass_2.fastq.gz
ERR260170	ERR260170_pass_1.fastq.gz	ERR260170_pass_2.fastq.gz
ERR260171	ERR260171_pass_1.fastq.gz	ERR260171_pass_2.fastq.gz
ERR260172	ERR260172_pass_1.fastq.gz	ERR260172_pass_2.fastq.gz
ERR260173	ERR260173_pass_1.fastq.gz	ERR260173_pass_2.fastq.gz
ERR260174	ERR260174_pass_1.fastq.gz	ERR260174_pass_2.fastq.gz
ERR260175	ERR260175_pass_1.fastq.gz	ERR260175_pass_2.fastq.gz
ERR260176	ERR260176_pass_1.fastq.gz	ERR260176_pass_2.fastq.gz
ERR260177	ERR260177_pass_1.fastq.gz	ERR260177_pass_2.fastq.gz
ERR260178	ERR260178_pass_1.fastq.gz	ERR260178_pass_2.fastq.gz
ERR260179	ERR260179_pass_1.fastq.gz	ERR260179_pass_2.fastq.gz
