sample	R1_filenames	R2_filenames
SRR12390916	SRR12390916_pass_1.fastq.gz	SRR12390916_pass_2.fastq.gz
SRR12390917	SRR12390917_pass_1.fastq.gz	SRR12390917_pass_2.fastq.gz
SRR12917088	SRR12917088_pass_1.fastq.gz	SRR12917088_pass_2.fastq.gz
SRR12917089	SRR12917089_pass_1.fastq.gz	SRR12917089_pass_2.fastq.gz
SRR12917099	SRR12917099_pass_1.fastq.gz	SRR12917099_pass_2.fastq.gz
SRR12917100	SRR12917100_pass_1.fastq.gz	SRR12917100_pass_2.fastq.gz
SRR12917102	SRR12917102_pass_1.fastq.gz	SRR12917102_pass_2.fastq.gz
SRR12917118	SRR12917118_pass_1.fastq.gz	SRR12917118_pass_2.fastq.gz
SRR12917144	SRR12917144_pass_1.fastq.gz	SRR12917144_pass_2.fastq.gz
SRR12917169	SRR12917169_pass_1.fastq.gz	SRR12917169_pass_2.fastq.gz
SRR12917171	SRR12917171_pass_1.fastq.gz	SRR12917171_pass_2.fastq.gz
SRR12917172	SRR12917172_pass_1.fastq.gz	SRR12917172_pass_2.fastq.gz
SRR12917226	SRR12917226_pass_1.fastq.gz	SRR12917226_pass_2.fastq.gz
SRR12917227	SRR12917227_pass_1.fastq.gz	SRR12917227_pass_2.fastq.gz
SRR12917497	SRR12917497_pass_1.fastq.gz	SRR12917497_pass_2.fastq.gz
SRR12917870	SRR12917870_pass_1.fastq.gz	SRR12917870_pass_2.fastq.gz
SRR12917871	SRR12917871_pass_1.fastq.gz	SRR12917871_pass_2.fastq.gz
SRR12917872	SRR12917872_pass_1.fastq.gz	SRR12917872_pass_2.fastq.gz
SRR12917873	SRR12917873_pass_1.fastq.gz	SRR12917873_pass_2.fastq.gz
SRR12917878	SRR12917878_pass_1.fastq.gz	SRR12917878_pass_2.fastq.gz
SRR12917908	SRR12917908_pass_1.fastq.gz	SRR12917908_pass_2.fastq.gz
SRR13164784	SRR13164784_pass_1.fastq.gz	SRR13164784_pass_2.fastq.gz
SRR35532429	SRR35532429_pass_1.fastq.gz	SRR35532429_pass_2.fastq.gz
SRR35532432	SRR35532432_pass_1.fastq.gz	SRR35532432_pass_2.fastq.gz
SRR35532436	SRR35532436_pass_1.fastq.gz	SRR35532436_pass_2.fastq.gz
SRR35532783	SRR35532783_pass_1.fastq.gz	SRR35532783_pass_2.fastq.gz
SRR35532947	SRR35532947_pass_1.fastq.gz	SRR35532947_pass_2.fastq.gz
SRR35532953	SRR35532953_pass_1.fastq.gz	SRR35532953_pass_2.fastq.gz
SRR35533448	SRR35533448_pass_1.fastq.gz	SRR35533448_pass_2.fastq.gz
SRR35533457	SRR35533457_pass_1.fastq.gz	SRR35533457_pass_2.fastq.gz
