sample	R1_filenames	R2_filenames
SRR32132906	SRR32132906_pass_1.fastq.gz	SRR32132906_pass_2.fastq.gz
SRR32132907	SRR32132907_pass_1.fastq.gz	SRR32132907_pass_2.fastq.gz
SRR32132908	SRR32132908_pass_1.fastq.gz	SRR32132908_pass_2.fastq.gz
SRR32132909	SRR32132909_pass_1.fastq.gz	SRR32132909_pass_2.fastq.gz
SRR32132910	SRR32132910_pass_1.fastq.gz	SRR32132910_pass_2.fastq.gz
SRR32132911	SRR32132911_pass_1.fastq.gz	SRR32132911_pass_2.fastq.gz
SRR32132912	SRR32132912_pass_1.fastq.gz	SRR32132912_pass_2.fastq.gz
SRR32132913	SRR32132913_pass_1.fastq.gz	SRR32132913_pass_2.fastq.gz
SRR32132914	SRR32132914_pass_1.fastq.gz	SRR32132914_pass_2.fastq.gz
SRR32132915	SRR32132915_pass_1.fastq.gz	SRR32132915_pass_2.fastq.gz
SRR32132916	SRR32132916_pass_1.fastq.gz	SRR32132916_pass_2.fastq.gz
SRR32132917	SRR32132917_pass_1.fastq.gz	SRR32132917_pass_2.fastq.gz
SRR32132918	SRR32132918_pass_1.fastq.gz	SRR32132918_pass_2.fastq.gz
SRR32132919	SRR32132919_pass_1.fastq.gz	SRR32132919_pass_2.fastq.gz
SRR32132920	SRR32132920_pass_1.fastq.gz	SRR32132920_pass_2.fastq.gz
SRR32134171	SRR32134171_pass_1.fastq.gz	SRR32134171_pass_2.fastq.gz
SRR32134172	SRR32134172_pass_1.fastq.gz	SRR32134172_pass_2.fastq.gz
SRR32134173	SRR32134173_pass_1.fastq.gz	SRR32134173_pass_2.fastq.gz
SRR32134174	SRR32134174_pass_1.fastq.gz	SRR32134174_pass_2.fastq.gz
SRR32134175	SRR32134175_pass_1.fastq.gz	SRR32134175_pass_2.fastq.gz
SRR32134176	SRR32134176_pass_1.fastq.gz	SRR32134176_pass_2.fastq.gz
SRR32134177	SRR32134177_pass_1.fastq.gz	SRR32134177_pass_2.fastq.gz
SRR32134178	SRR32134178_pass_1.fastq.gz	SRR32134178_pass_2.fastq.gz
SRR32134179	SRR32134179_pass_1.fastq.gz	SRR32134179_pass_2.fastq.gz
SRR32134180	SRR32134180_pass_1.fastq.gz	SRR32134180_pass_2.fastq.gz
SRR32134181	SRR32134181_pass_1.fastq.gz	SRR32134181_pass_2.fastq.gz
SRR32134182	SRR32134182_pass_1.fastq.gz	SRR32134182_pass_2.fastq.gz
SRR32134183	SRR32134183_pass_1.fastq.gz	SRR32134183_pass_2.fastq.gz
SRR32134184	SRR32134184_pass_1.fastq.gz	SRR32134184_pass_2.fastq.gz
SRR32134185	SRR32134185_pass_1.fastq.gz	SRR32134185_pass_2.fastq.gz
SRR32134806	SRR32134806_pass_1.fastq.gz	SRR32134806_pass_2.fastq.gz
SRR32134807	SRR32134807_pass_1.fastq.gz	SRR32134807_pass_2.fastq.gz
SRR32134808	SRR32134808_pass_1.fastq.gz	SRR32134808_pass_2.fastq.gz
SRR32134809	SRR32134809_pass_1.fastq.gz	SRR32134809_pass_2.fastq.gz
SRR32134810	SRR32134810_pass_1.fastq.gz	SRR32134810_pass_2.fastq.gz
SRR32134811	SRR32134811_pass_1.fastq.gz	SRR32134811_pass_2.fastq.gz
SRR32134812	SRR32134812_pass_1.fastq.gz	SRR32134812_pass_2.fastq.gz
SRR32134813	SRR32134813_pass_1.fastq.gz	SRR32134813_pass_2.fastq.gz
SRR32134814	SRR32134814_pass_1.fastq.gz	SRR32134814_pass_2.fastq.gz
SRR32134815	SRR32134815_pass_1.fastq.gz	SRR32134815_pass_2.fastq.gz
SRR32134816	SRR32134816_pass_1.fastq.gz	SRR32134816_pass_2.fastq.gz
SRR32134817	SRR32134817_pass_1.fastq.gz	SRR32134817_pass_2.fastq.gz
SRR32134818	SRR32134818_pass_1.fastq.gz	SRR32134818_pass_2.fastq.gz
SRR32134819	SRR32134819_pass_1.fastq.gz	SRR32134819_pass_2.fastq.gz
SRR32134820	SRR32134820_pass_1.fastq.gz	SRR32134820_pass_2.fastq.gz
SRR32136321	SRR32136321_pass_1.fastq.gz	SRR32136321_pass_2.fastq.gz
SRR32136322	SRR32136322_pass_1.fastq.gz	SRR32136322_pass_2.fastq.gz
SRR32136323	SRR32136323_pass_1.fastq.gz	SRR32136323_pass_2.fastq.gz
SRR32136324	SRR32136324_pass_1.fastq.gz	SRR32136324_pass_2.fastq.gz
SRR32136325	SRR32136325_pass_1.fastq.gz	SRR32136325_pass_2.fastq.gz
SRR32136326	SRR32136326_pass_1.fastq.gz	SRR32136326_pass_2.fastq.gz
SRR32136327	SRR32136327_pass_1.fastq.gz	SRR32136327_pass_2.fastq.gz
SRR32136328	SRR32136328_pass_1.fastq.gz	SRR32136328_pass_2.fastq.gz
SRR32136329	SRR32136329_pass_1.fastq.gz	SRR32136329_pass_2.fastq.gz
SRR32136330	SRR32136330_pass_1.fastq.gz	SRR32136330_pass_2.fastq.gz
SRR32136331	SRR32136331_pass_1.fastq.gz	SRR32136331_pass_2.fastq.gz
SRR32136332	SRR32136332_pass_1.fastq.gz	SRR32136332_pass_2.fastq.gz
SRR32136333	SRR32136333_pass_1.fastq.gz	SRR32136333_pass_2.fastq.gz
SRR32136334	SRR32136334_pass_1.fastq.gz	SRR32136334_pass_2.fastq.gz
SRR32136335	SRR32136335_pass_1.fastq.gz	SRR32136335_pass_2.fastq.gz
